,text,tokens,actual,predicted
99,número de nados,número de nados núm úme mer ero ro  o d  de de  e n  na nad ado dos ,gl,es
100,: · Ucrainica,· Ucrainica  ·  · U  Uc Ucr cra rai ain ini nic ica ,la,pt
101,. USA :,USA U S A  US USA SA  ,sv,ceb
102,Rodri • 18,Rodri • Rod odr dri ri  i •  •  ,pt,hr
103,Vori | 10,Vori Vor ori ri  i   ,hr,it
104,: „The arrests of the thirties were arrests of random,„The arrests of the thirties were arrests of random  „T „Th The he  e a  ar arr rre res est sts ts  s o  of of  f t  th the he  e t  th thi hir irt rti tie ies es  s w  we wer ere re  e a  ar arr rre res est sts ts  s o  of of  f r  ra ran and ndo dom ,de,en
105,to danas Sveti,to danas Sveti to  o d  da dan ana nas as  s S  Sv Sve vet eti ,hr,sh
106,Res publica ),Res publica Res es  s p  pu pub ubl bli lic ica ca  ,pt,es
107,") , kö",kö k ö   k  kö ,vo,hu
108,Обама ( 2008,Обама О б а м а Оба бам ама ма  а   ,bg,sr
109,ramen per 2016,ramen r a m e n per p e r ram ame men en  n p  pe per er  ,nl,ca
110,by J .,by b y J J by  y J  J  ,sh,en
111,· Болгари ·,· · Болгари Б о л г а р и · · · Б  Бо Бол олг лга гар ари ри  и · ,ce,bg
112,"est ) ,",est est st  t   ,it,fr
113,er vielen tien,er vielen tien er  r v  vi vie iel ele len en  n t  ti tie ien ,nl,de
114,ad-Dín Jusúf ben,adDín Jusúf ben adD dDí Dín ín  n J  Ju Jus usú súf úf  f b  be ben ,cs,hu
115,NKWD . Do,NKWD Do NKW KWD WD  D     D  Do ,pl,en
116,· H. Berlioz,· H Berlioz · H  H  H B  Be Ber erl rli lio ioz ,ro,id
117,Od roku 1908,Od O d roku r o k u Od  d r  ro rok oku ku  ,sk,pl
118,Library Center ),Library Center Lib ibr bra rar ary ry  y C  Ce Cen ent nte ter er  ,sh,en
119,er toch nog,er e r toch t o c h nog n o g er  r t  to toc och ch  h n  no nog ,nl,sv
120,) | Guido,Guido   G  Gu Gui uid ido ,la,es
121,5 % ),,ce,en
122,"as defense ,",as defense as  s d  de def efe fen ens nse se  ,en,gl
123,Coordinate : 40°N,Coordinate C o o r d i n a t e °N ° N Coo oor ord rdi din ina nat ate te  e     °  °N ,it,ro
124,and socio-economic transformation,and socioeconomic transformation and nd  d s  so soc oci cio ioe oec eco con ono nom omi mic ic  c t  tr tra ran ans nsf sfo for orm rma mat ati tio ion ,ms,en
125,UNESCO . Knapp,UNESCO Knapp UNE NES ESC SCO CO  O     K  Kn Kna nap app ,de,da
126,grunnlagt i 1111,grunnlagt i gru run unn nnl nla lag agt gt  t i  i  ,nn,no
127,· Gabonia ·,· Gabonia · · G  Ga Gab abo bon oni nia ia  a · ,la,id
128,"Pont , un",Pont P o n t un u n Pon ont nt  t     u  un ,it,ca
129,"in Germany , numbering over 2 million people , and",in Germany numbering over million people and in  n G  Ge Ger erm rma man any ny  y     n  nu num umb mbe ber eri rin ing ng  g o  ov ove ver er  r     m  mi mil ill lli lio ion on  n p  pe peo eop opl ple le  e     a  an and ,tr,en
130,"AnsaldoBreda i Italien , og som har lagt navn til",AnsaldoBreda A n s a l d o B r e d a i i Italien I t a l i e n og o g som s o m har h a r lagt l a g t navn n a v n til t i l Ans nsa sal ald ldo doB oBr Bre red eda da  a i  i  i I  It Ita tal ali lie ien en  n     o  og og  g s  so som om  m h  ha har ar  r l  la lag agt gt  t n  na nav avn vn  n t  ti til ,da,no
131,"Bernardo de Bonaval , Airas Nunes , Pedro da Ponte",Bernardo de Bonaval Airas Nunes Pedro da Ponte Ber ern rna nar ard rdo do  o d  de de  e B  Bo Bon ona nav ava val al  l     A  Ai Air ira ras as  s N  Nu Nun une nes es  s     P  Pe Ped edr dro ro  o d  da da  a P  Po Pon ont nte ,es,gl
132,"125,17 125,18 125,19",,az,en
133,", Jack Swigert",Jack Swigert  Ja Jac ack ck  k S  Sw Swi wig ige ger ert ,hu,no
134,] Riječ ``,Riječ  Ri Rij ije ječ eč  ,sh,hr
135,"da su usjevi u dobrom stanju , crno koje pokazuje poplavljeno područje , i smeđe dijelove koji kazuju da su neželjeni pesticidi prešli na usjeve koji se ne tretiraju hemikalijama .",da su usjevi u dobrom stanju crno koje pokazuje poplavljeno područje i smeđe dijelove koji kazuju da su neželjeni pesticidi prešli na usjeve koji se ne tretiraju hemikalijama da  a s  su su  u u  us usj sje jev evi vi  i u  u  u d  do dob obr bro rom om  m s  st sta tan anj nju ju  u     c  cr crn rno no  o k  ko koj oje je  e p  po pok oka kaz azu zuj uje je  e p  po pop opl pla lav avl vlj lje jen eno no  o p  po pod odr dru ruč učj čje je  e     i  i  i s  sm sme međ eđe đe  e d  di dij ije jel elo lov ove ve  e k  ko koj oji ji  i k  ka kaz azu zuj uju ju  u d  da da  a s  su su  u n  ne než eže žel elj lje jen eni ni  i p  pe pes est sti tic ici cid idi di  i p  pr pre reš ešl šli li  i n  na na  a u  us usj sje jev eve ve  e k  ko koj oji ji  i s  se se  e n  ne ne  e t  tr tre ret eti tir ira raj aju ju  u h  he hem emi mik ika kal ali lij ija jam ama ma  ,sh,hr
136,Walt Cunningham .,Walt W a l t Cunningham C u n n i n g h a m Wal alt lt  t C  Cu Cun unn nni nin ing ngh gha ham am  ,hr,ro
137,Dhekelia,Dhekelia Dhe hek eke kel eli lia ,fi,fr
138,a la Mare,a a la l a Mare M a r e a l  la la  a M  Ma Mar are ,ca,ro
139,1 • Индонезия,• • Индонезия И н д о н е з и я  •  • И  Ин Инд ндо дон оне нез ези зия ,bg,ru
140,"Hungarian , and",Hungarian and Hun ung nga gar ari ria ian an  n     a  an and ,ro,en
141,“Voices of Winter,“Voices of Winter “Vo Voi oic ice ces es  s o  of of  f W  Wi Win int nte ter ,vi,en
142,: bost .,bost  bo bos ost st  ,eu,de
143, Áá   ·    Àà   ·    Ăă   ·    Ắắ   ·    Ằằ   ·    Ẵẵ   ·    Ẳẳ   ·    Ââ   ·    Ấấ   ·    Ầầ   ·    Ẫẫ   ·    Ẩẩ   ·    Ǎǎ   ·    Åå   ·    Ǻǻ   ·    Ää   ·    Ǟǟ   ·    Ãã   ·    Ȧȧ   ·    Ǡǡ   ·    Ąą   ·    Āā   ·    Ảả   ·    Ȁȁ   ·    Ȃȃ   ·    Ạạ   ·    Ặặ   ·    Ậậ   ·    Ḁḁ   ·    Ⱥⱥ   ·    ᶏ   ·    Ɐɐ   ·    Ɑɑ ,Áá Á á · · Àà À à · · Ăă Ă ă · · Ắắ Ắ ắ · · Ằằ Ằ ằ · · Ẵẵ Ẵ ẵ · · Ẳẳ Ẳ ẳ · · Ââ Â â · · Ấấ Ấ ấ · · Ầầ Ầ ầ · · Ẫẫ Ẫ ẫ · · Ẩẩ Ẩ ẩ · · Ǎǎ Ǎ ǎ · · Åå Å å · · Ǻǻ Ǻ ǻ · · Ää Ä ä · · Ǟǟ Ǟ ǟ · · Ãã Ã ã · · Ȧȧ Ȧ ȧ · · Ǡǡ Ǡ ǡ · · Ąą Ą ą · · Āā Ā ā · · Ảả Ả ả · · Ȁȁ Ȁ ȁ · · Ȃȃ Ȃ ȃ · · Ạạ Ạ ạ · · Ặặ Ặ ặ · · Ậậ Ậ ậ · · Ḁḁ Ḁ ḁ · · Ⱥⱥ Ⱥ ⱥ · · ᶏ ᶏ · · Ɐɐ Ɐ ɐ · · Ɑɑ Ɑ ɑ  Áá Áá  á         ·  ·  ·             À  Àà Àà  à         ·  ·  ·             Ă  Ăă Ăă  ă         ·  ·  ·             Ắ  Ắắ Ắắ  ắ         ·  ·  ·             Ằ  Ằằ Ằằ  ằ         ·  ·  ·             Ẵ  Ẵẵ Ẵẵ  ẵ         ·  ·  ·             Ẳ  Ẳẳ Ẳẳ  ẳ         ·  ·  ·             Â  Ââ Ââ  â         ·  ·  ·             Ấ  Ấấ Ấấ  ấ         ·  ·  ·             Ầ  Ầầ Ầầ  ầ         ·  ·  ·             Ẫ  Ẫẫ Ẫẫ  ẫ         ·  ·  ·             Ẩ  Ẩẩ Ẩẩ  ẩ         ·  ·  ·             Ǎ  Ǎǎ Ǎǎ  ǎ         ·  ·  ·             Å  Åå Åå  å         ·  ·  ·             Ǻ  Ǻǻ Ǻǻ  ǻ         ·  ·  ·             Ä  Ää Ää  ä         ·  ·  ·             Ǟ  Ǟǟ Ǟǟ  ǟ         ·  ·  ·             Ã  Ãã Ãã  ã         ·  ·  ·             Ȧ  Ȧȧ Ȧȧ  ȧ         ·  ·  ·             Ǡ  Ǡǡ Ǡǡ  ǡ         ·  ·  ·             Ą  Ąą Ąą  ą         ·  ·  ·             Ā  Āā Āā  ā         ·  ·  ·             Ả  Ảả Ảả  ả         ·  ·  ·             Ȁ  Ȁȁ Ȁȁ  ȁ         ·  ·  ·             Ȃ  Ȃȃ Ȃȃ  ȃ         ·  ·  ·             Ạ  Ạạ Ạạ  ạ         ·  ·  ·             Ặ  Ặặ Ặặ  ặ         ·  ·  ·             Ậ  Ậậ Ậậ  ậ         ·  ·  ·             Ḁ  Ḁḁ Ḁḁ  ḁ         ·  ·  ·             Ⱥ  Ⱥⱥ Ⱥⱥ  ⱥ         ·  ·  ·             ᶏ  ᶏ  ᶏ         ·  ·  ·             Ɐ  Ɐɐ Ɐɐ  ɐ         ·  ·  ·             Ɑ  Ɑɑ Ɑɑ  ,ro,vi
144,: Anny Rüegg,Anny A n n y Rüegg R ü e g g  An Ann nny ny  y R  Rü Rüe üeg egg ,sl,tr
145,historije koja se,historije koja se his ist sto tor ori rij ije je  e k  ko koj oja ja  a s  se ,sh,hr
146,( 1926 ),,bg,en
147,10 % flere,flere   f  fl fle ler ere ,da,no
148,opakuje ) .,opakuje opa pak aku kuj uje je  e   ,sk,sh
149,1 ] ;,,ru,en
150,"^ Grant , Lisa B. ; Mueller , Karl J.",Grant G r a n t Lisa L i s a B B Mueller M u e l l e r Karl K a r l J J  Gr Gra ran ant nt  t     L  Li Lis isa sa  a B  B  B     M  Mu Mue uel ell lle ler er  r     K  Ka Kar arl rl  l J ,en,sv
151,( 2003 ),,sl,en
152,cultura texana si,cultura c u l t u r a texana t e x a n a si s i cul ult ltu tur ura ra  a t  te tex exa xan ana na  a s  si ,it,ca
153,a papa nyaranta,a papa nyaranta a p  pa pap apa pa  a n  ny nya yar ara ran ant nta ,hu,ms
154,estatua de bronce,estatua e s t a t u a de d e bronce b r o n c e est sta tat atu tua ua  a d  de de  e b  br bro ron onc nce ,es,eu
155,( 1952 ),,hu,en
156,sledili trije načini,sledili trije načini sle led edi dil ili li  i t  tr tri rij ije je  e n  na nač ači čin ini ,sl,sh
157,( UCLAs ),UCLAs  UC UCL CLA LAs As  ,et,es
158,] men i,men i  me men en  n i ,da,no
159,· QS ·,· · QS Q S · · · Q  QS QS  S · ,nn,no
160,Sugbo .,Sugbo Sug ugb gbo bo  ,war,ceb
161,1809 . [,,no,en
162,"viro , cui",viro cui vir iro ro  o     c  cu cui ,la,it
163,men deles inn,men m e n deles d e l e s inn i n n men en  n d  de del ele les es  s i  in inn ,no,nl
164,( 1474 ),,es,en
165,"and Department of Physics and Astronomy , Michigan State University",and Department of Physics and Astronomy Michigan State University and nd  d D  De Dep epa par art rtm tme men ent nt  t o  of of  f P  Ph Phy hys ysi sic ics cs  s a  an and nd  d A  As Ast str tro ron ono nom omy my  y     M  Mi Mic ich chi hig iga gan an  n S  St Sta tat ate te  e U  Un Uni niv ive ver ers rsi sit ity ,el,en
166,^ `` Others,Others   O  Ot Oth the her ers ,tr,en
167,Atomgemeinschaft und ihren,Atomgemeinschaft und ihren Ato tom omg mge gem eme mei ein ins nsc sch cha haf aft ft  t u  un und nd  d i  ih ihr hre ren ,ru,de
168,約市享,約市享 約 市 享 約市享 ,zh,ja
169,militares imperiais .,militares imperiais mil ili lit ita tar are res es  s i  im imp mpe per eri ria iai ais is  ,pt,gl
170,5 novembre 1926,novembre  no nov ove vem emb mbr bre re  ,it,fr
171,implications '' .,implications imp mpl pli lic ica cat ati tio ion ons ns  s   ,kk,fr
172,un des organismes,un u n des d e s organismes o r g a n i s m e s un  n d  de des es  s o  or org rga gan ani nis ism sme mes ,fr,ca
173,que equivale a,que equivale a que ue  e e  eq equ qui uiv iva val ale le  e a ,gl,pt
174,1960 ) •,• •   • ,sl,pl
175,: República Bolivariana,República Bolivariana  Re Rep epú púb úbl bli lic ica ca  a B  Bo Bol oli liv iva var ari ria ian ana ,vi,es
176,York & London,York London Yor ork rk  k     L  Lo Lon ond ndo don ,eo,no
177,nucl . basalisu,nucl n u c l basalisu b a s a l i s u nuc ucl cl  l     b  ba bas asa sal ali lis isu ,hr,ca
178,1788 1794 1800,,eo,en
179,[ * 7,,uk,en
180,as vexigas por,as vexigas por as  s v  ve vex exi xig iga gas as  s p  po por ,gl,es
181,Fenolleda ) •,Fenolleda • Fen eno nol oll lle led eda da  a     • ,eu,sh
182,( ICO 2009,ICO I C O  IC ICO CO  ,el,it
183,= 1 FRF,FRF F R F   F  FR FRF ,fi,no
184,"rationis docendi ,",rationis docendi rat ati tio ion oni nis is  s d  do doc oce cen end ndi di  ,la,en
185,Delaware · Erie · Fairfield · Fayette · Franklin ·,Delaware · Erie · Fairfield · Fayette · Franklin · Del ela law awa war are re  e ·  ·  · E  Er Eri rie ie  e ·  ·  · F  Fa Fai air irf rfi fie iel eld ld  d ·  ·  · F  Fa Fay aye yet ett tte te  e ·  ·  · F  Fr Fra ran ank nkl kli lin in  n · ,hr,it
186,Hannover - Würzburg,Hannover Würzburg Han ann nno nov ove ver er  r     W  Wü Wür ürz rzb zbu bur urg ,sv,de
187,Día 10 :,Día Día ía  a   ,gl,es
188,CT : Yale,CT Yale CT  T     Y  Ya Yal ale ,sh,zh
189,de Estado .,de Estado de  e E  Es Est sta tad ado do  ,pt,es
190,sonra kanal 10,sonra s o n r a kanal k a n a l son onr nra ra  a k  ka kan ana nal al  ,az,tr
191,44 ] [,,de,en
192,menumpas pemberontakan yang meluas di Vietnam tengah . [ 24,menumpas pemberontakan yang meluas di Vietnam tengah men enu num ump mpa pas as  s p  pe pem emb mbe ber ero ron ont nta tak aka kan an  n y  ya yan ang ng  g m  me mel elu lua uas as  s d  di di  i V  Vi Vie iet etn tna nam am  m t  te ten eng nga gah ah  h       ,id,ms
193,Води . 17,Води В о д и Вод оди ди  и   ,uk,ru
194,of the metals,of the metals of  f t  th the he  e m  me met eta tal als ,el,en
195,"17 , 1998",,tr,en
196,", als ,",als a l s  al als ls  ,nl,de
197,that never has,that never has tha hat at  t n  ne nev eve ver er  r h  ha has ,uk,en
198,s I,s s I I s I ,th,en
199,"] , National",National   N  Na Nat ati tio ion ona nal ,ar,en
200,"Chronicle » ,",Chronicle » Chr hro ron oni nic icl cle le  e »  »  ,ru,fr
201,", santan ,",santan  sa san ant nta tan an  ,id,ceb
202,Lamont ( April,Lamont April Lam amo mon ont nt  t     A  Ap Apr pri ril ,hi,en
203,od lat 90.,od o d lat l a t od  d l  la lat at  ,pl,eo
204,New York City,New N e w York Y o r k City C i t y New ew  w Y  Yo Yor ork rk  k C  Ci Cit ity ,lt,tr
205,"^ Reilly ,",Reilly  Re Rei eil ill lly ly  ,ar,en
206,'' ( PDF,PDF P D F   P  PD PDF ,id,en
207,sett kupert med,sett kupert med set ett tt  t k  ku kup upe per ert rt  t m  me med ,no,nn
208,Early Tenth Centuries,Early Tenth Centuries Ear arl rly ly  y T  Te Ten ent nth th  h C  Ce Cen ent ntu tur uri rie ies ,nl,en
209,· Podul ( 1963 ) · Adio ! ... (,· Podul · Adio · P  Po Pod odu dul ul  l             ·  ·  · A  Ad Adi dio io  o       ,ro,it
210,"in Florida ,",in Florida in  n F  Fl Flo lor ori rid ida da  ,it,de
211,Langenhagen • Lehrte,Langenhagen L a n g e n h a g e n • • Lehrte L e h r t e Lan ang nge gen enh nha hag age gen en  n •  •  • L  Le Leh ehr hrt rte ,fr,de
212,"Silsden , West",Silsden West Sil ils lsd sde den en  n     W  We Wes est ,ca,de
213,. Se pare,Se pare  Se Se  e p  pa par are ,ro,it
214,Гондурас · Гренада,Гондурас Г о н д у р а с · · Гренада Г р е н а д а Гон онд нду дур ура рас ас  с ·  ·  · Г  Гр Гре рен ена над ада ,uk,sr
215,138 .,,sk,en
216,Gambia · Ghana,Gambia G a m b i a · · Ghana G h a n a Gam amb mbi bia ia  a ·  ·  · G  Gh Gha han ana ,nn,ca
217,derechos humanos también,derechos humanos también der ere rec ech cho hos os  s h  hu hum uma man ano nos os  s t  ta tam amb mbi bié ién ,fr,es
218,School of Public,School of Public Sch cho hoo ool ol  l o  of of  f P  Pu Pub ubl bli lic ,pt,en
219,danske Rige .,danske d a n s k e Rige R i g e dan ans nsk ske ke  e R  Ri Rig ige ge  ,ka,da
220,283 ] Kentte,Kentte   K  Ke Ken ent ntt tte ,tr,de
221,% 9B %,B B  B  ,pl,en
222,1757 ; tomos,tomos   t  to tom omo mos ,gl,en
