,text,tokens,actual,predicted
53,", Jones D",Jones J o n e s D D  Jo Jon one nes es  s D ,ro,ca
54,Njemačka • Norveška,Njemačka • Norveška Nje jem ema mač ačk čka ka• a•N •No Nor orv rve veš ešk ška ,hr,sh
55,Johnson · Grant,Johnson J o h n s o n · · Grant G r a n t Joh ohn hns nso son on  n ·  ·  · G  Gr Gra ran ant ,nl,eo
56,"governo , apesar",governo apesar gov ove ver ern rno noa oap ape pes esa sar ,pt,it
57,System berhad .,System berhad Sys yst ste tem emb mbe ber erh rha had ,ms,en
58," ↑   The invasion likely began in late October/early November 1547 although Burmese chronicles (Hmannan Vol. 2 2003: 238–239) simply say the attack on Tavoy began in 909 ME (30 March 1547 to 28 March 1548). The attack probably did not take place in early 1547 since Tabinshwehti's troops evacuated southern Arakan only on 26 March 1547 (5th waxing of Late Tagu 908 ME). The troops would have arrived back only in mid-to-late April, leaving just about a month for a military campaign before the rainy season began in June. The invasion, like most wars by the Burmese kings, probably began toward the end of rainy season and after the end of Buddhist Lent, which ended on 13 October 1547 (New moon of Thadingyut 909 ME) that year. ",↑ ↑ The T h e invasion i n v a s i o n likely l i k e l y began b e g a n in i n late l a t e Octoberearly O c t o b e r e a r l y November N o v e m b e r although a l t h o u g h Burmese B u r m e s e chronicles c h r o n i c l e s Hmannan H m a n n a n Vol V o l – – simply s i m p l y say s a y the t h e attack a t t a c k on o n Tavoy T a v o y began b e g a n in i n ME M E March M a r c h to t o March M a r c h The T h e attack a t t a c k probably p r o b a b l y did d i d not n o t take t a k e place p l a c e in i n early e a r l y since s i n c e Tabinshwehtis T a b i n s h w e h t i s troops t r o o p s evacuated e v a c u a t e d southern s o u t h e r n Arakan A r a k a n only o n l y on o n March M a r c h th t h waxing w a x i n g of o f Late L a t e Tagu T a g u ME M E The T h e troops t r o o p s would w o u l d have h a v e arrived a r r i v e d back b a c k only o n l y in i n midtolate m i d t o l a t e April A p r i l leaving l e a v i n g just j u s t about a b o u t a a month m o n t h for f o r a a military m i l i t a r y campaign c a m p a i g n before b e f o r e the t h e rainy r a i n y season s e a s o n began b e g a n in i n June J u n e The T h e invasion i n v a s i o n like l i k e most m o s t wars w a r s by b y the t h e Burmese B u r m e s e kings k i n g s probably p r o b a b l y began b e g a n toward t o w a r d the t h e end e n d of o f rainy r a i n y season s e a s o n and a n d after a f t e r the t h e end e n d of o f Buddhist B u d d h i s t Lent L e n t which w h i c h ended e n d e d on o n October O c t o b e r New N e w moon m o o n of o f Thadingyut T h a d i n g y u t ME M E that t h a t year y e a r  ↑  ↑         T  Th The he  e i  in inv nva vas asi sio ion on  n l  li lik ike kel ely ly  y b  be beg ega gan an  n i  in in  n l  la lat ate te  e O  Oc Oct cto tob obe ber ere rea ear arl rly ly  y N  No Nov ove vem emb mbe ber er  r     a  al alt lth tho hou oug ugh gh  h B  Bu Bur urm rme mes ese se  e c  ch chr hro ron oni nic icl cle les es  s H  Hm Hma man ann nna nan an  n V  Vo Vol ol  l         –  –  – s  si sim imp mpl ply ly  y s  sa say ay  y t  th the he  e a  at att tta tac ack ck  k o  on on  n T  Ta Tav avo voy oy  y b  be beg ega gan an  n i  in in  n     M  ME ME  E     M  Ma Mar arc rch ch  h     t  to to  o     M  Ma Mar arc rch ch  h     T  Th The he  e a  at att tta tac ack ck  k p  pr pro rob oba bab abl bly ly  y d  di did id  d n  no not ot  t t  ta tak ake ke  e p  pl pla lac ace ce  e i  in in  n e  ea ear arl rly ly  y     s  si sin inc nce ce  e T  Ta Tab abi bin ins nsh shw hwe weh eht hti tis is  s t  tr tro roo oop ops ps  s e  ev eva vac acu cua uat ate ted ed  d s  so sou out uth the her ern rn  n A  Ar Ara rak aka kan an  n o  on onl nly ly  y o  on on  n     M  Ma Mar arc rch ch  h     t  th th  h w  wa wax axi xin ing ng  g o  of of  f L  La Lat ate te  e T  Ta Tag agu gu  u     M  ME ME  E T  Th The he  e t  tr tro roo oop ops ps  s w  wo wou oul uld ld  d h  ha hav ave ve  e a  ar arr rri riv ive ved ed  d b  ba bac ack ck  k o  on onl nly ly  y i  in in  n m  mi mid idt dto tol ola lat ate te  e A  Ap Apr pri ril il  l l  le lea eav avi vin ing ng  g j  ju jus ust st  t a  ab abo bou out ut  t a  a  a m  mo mon ont nth th  h f  fo for or  r a  a  a m  mi mil ili lit ita tar ary ry  y c  ca cam amp mpa pai aig ign gn  n b  be bef efo for ore re  e t  th the he  e r  ra rai ain iny ny  y s  se sea eas aso son on  n b  be beg ega gan an  n i  in in  n J  Ju Jun une ne  e T  Th The he  e i  in inv nva vas asi sio ion on  n l  li lik ike ke  e m  mo mos ost st  t w  wa war ars rs  s b  by by  y t  th the he  e B  Bu Bur urm rme mes ese se  e k  ki kin ing ngs gs  s p  pr pro rob oba bab abl bly ly  y b  be beg ega gan an  n t  to tow owa war ard rd  d t  th the he  e e  en end nd  d o  of of  f r  ra rai ain iny ny  y s  se sea eas aso son on  n a  an and nd  d a  af aft fte ter er  r t  th the he  e e  en end nd  d o  of of  f B  Bu Bud udd ddh dhi his ist st  t L  Le Len ent nt  t w  wh whi hic ich ch  h e  en end nde ded ed  d o  on on  n     O  Oc Oct cto tob obe ber er  r     N  Ne New ew  w m  mo moo oon on  n o  of of  f T  Th Tha had adi din ing ngy gyu yut ut  t     M  ME ME  E t  th tha hat at  t y  ye yea ear ar  ,th,en
59,") i Molučki otoci ( Halmahera i Seram ) . Indonezija se nalazi na granici nekoliko litosfernih ploča ( euroazijske , australoindijske , tihooceanske i više manjih ploča ) , te kroz nju prolaze ogromni rasjedi . Zbog toga je",i Molučki otoci Halmahera i Seram Indonezija se nalazi na granici nekoliko litosfernih ploča euroazijske australoindijske tihooceanske i više manjih ploča te kroz nju prolaze ogromni rasjedi Zbog toga je iMo Mol olu luč učk čki kio iot oto toc oci ciH iHa Hal alm lma mah ahe her era rai aiS iSe Ser era ram amI mIn Ind ndo don one nez ezi zij ija jas ase sen ena nal ala laz azi zin ina nag agr gra ran ani nic ici cin ine nek eko kol oli lik iko kol oli lit ito tos osf sfe fer ern rni nih ihp hpl plo loč oča čae aeu eur uro roa oaz azi zij ijs jsk ske kea eau aus ust str tra ral alo loi oin ind ndi dij ijs jsk ske ket eti tih iho hoo ooc oce cea ean ans nsk ske kei eiv ivi viš iše šem ema man anj nji jih ihp hpl plo loč oča čat ate tek ekr kro roz ozn znj nju jup upr pro rol ola laz aze zeo eog ogr gro rom omn mni nir ira ras asj sje jed edi diZ iZb Zbo bog ogt gto tog oga gaj aje ,hr,sh
60,на 2—3 градуса,на н а — — градуса г р а д у с а на  а —  —  — г  гр гра рад аду дус уса ,ru,sr
61,. Doživljaj boli razlikuje se od pojedinca do pojedinca .,Doživljaj boli razlikuje se od pojedinca do pojedinca Dož oži živ ivl vlj lja jaj ajb jbo bol oli lir ira raz azl zli lik iku kuj uje jes ese seo eod odp dpo poj oje jed edi din inc nca cad ado dop opo poj oje jed edi din inc nca ,hr,sl
62,. [ 213,,az,en
63,Nocioni • 2005 : Scola • 2006 : Navarro •,Nocioni N o c i o n i • • Scola S c o l a • • Navarro N a v a r r o • • Noc oci cio ion oni ni  i •  •  •         S  Sc Sco col ola la  a •  •  •         N  Na Nav ava var arr rro ro  o • ,pl,eo
64,. Pedro Rico,Pedro P e d r o Rico R i c o  Pe Ped edr dro ro  o R  Ri Ric ico ,eo,ca
65,", p. 6 . ISBN 0-8146-5081-3",p ISBN pIS ISB SBN ,en,de
66,27 . JUNI,JUNI J U N I   J  JU JUN UNI ,ru,da
67,( Синельникове ),Синельникове С и н е л ь н и к о в е  Си Син ине нел ель льн ьни ник ико ков ове ве  ,uk,ru
68,Henryk I Brodaty,Henryk H e n r y k I I Brodaty B r o d a t y Hen enr nry ryk yk  k I  I  I B  Br Bro rod oda dat aty ,pl,da
69,"tvrtke Panturist ,",tvrtke Panturist tvr vrt rtk tke keP ePa Pan ant ntu tur uri ris ist ,hr,sh
70,1996 · 1997 · 1998 · 1999 · 2000 ·,· · · · · · · · · ·  ·  ·     ·  ·  ·     ·  ·  ·     ·  ·  ·     · ,tr,no
71,arte e architettura contemporanea italiana . Rivedere con urgenza legge,arte a r t e e e architettura a r c h i t e t t u r a contemporanea c o n t e m p o r a n e a italiana i t a l i a n a Rivedere R i v e d e r e con c o n urgenza u r g e n z a legge l e g g e art rte te  e e  e  e a  ar arc rch chi hit ite tet ett ttu tur ura ra  a c  co con ont nte tem emp mpo por ora ran ane nea ea  a i  it ita tal ali lia ian ana na  a     R  Ri Riv ive ved ede der ere re  e c  co con on  n u  ur urg rge gen enz nza za  a l  le leg egg gge ,ru,fi
72,overexpression of an,overexpression o v e r e x p r e s s i o n of o f an a n ove ver ere rex exp xpr pre res ess ssi sio ion on  n o  of of  f a  an ,vi,el
73,"sumada , á",sumada á sum uma mad ada daá ,gl,pt
74,) . ``,,id,en
75,3200 km (,km ,hr,it
76,Škotske 1320 .,Škotske Ško kot ots tsk ske ,sh,sl
77,hypertension in the,hypertension h y p e r t e n s i o n in i n the t h e hyp ype per ert rte ten ens nsi sio ion on  n i  in in  n t  th the ,ro,ar
78,& dq=Springer+handbook+of+condensed+matter+and+materials+data & lr= & as_brr=3 & ei=HPwFTLL8HpWizQTe6bG5DA & cd=1,dqSpringerhandbookofcondensedmatterandmaterialsdata d q S p r i n g e r h a n d b o o k o f c o n d e n s e d m a t t e r a n d m a t e r i a l s d a t a lr l r asbrr a s b r r eiHPwFTLLHpWizQTebGDA e i H P w F T L L H p W i z Q T e b G D A cd c d  dq dqS qSp Spr pri rin ing nge ger erh rha han and ndb dbo boo ook oko kof ofc fco con ond nde den ens nse sed edm dma mat att tte ter era ran and ndm dma mat ate ter eri ria ial als lsd sda dat ata ta  a     l  lr lr  r     a  as asb sbr brr rr  r     e  ei eiH iHP HPw PwF wFT FTL TLL LLH LHp HpW pWi Wiz izQ zQT QTe Teb ebG bGD GDA DA  A     c  cd ,el,sv
79,] Andien ja,Andien A n d i e n ja j a  An And ndi die ien en  n j  ja ,fi,sv
80,sabaudo ( 1946,sabaudo sab aba bau aud udo ,it,es
81,of Character '',of o f Character C h a r a c t e r of  f C  Ch Cha har ara rac act cte ter er  ,tr,da
82,lingua galega .,lingua galega lin ing ngu gua uag aga gal ale leg ega ,gl,la
83,uri=link=3100006~ ! 1065714~ ! 3100001~ ! 3100002 & aspect=subtab13 & menu=search & ri=2 & source=~ ! uoi_library & term= % CE % 9F % CF % 81 % CE % B3 % CE % B1 % CE % BD %,urilink u r i l i n k aspectsubtab a s p e c t s u b t a b menusearch m e n u s e a r c h ri r i source s o u r c e uoilibrary u o i l i b r a r y term t e r m CE C E F F CF C F CE C E B B CE C E B B CE C E BD B D uri ril ili lin ink nk  k                             a  as asp spe pec ect cts tsu sub ubt bta tab ab  b     m  me men enu nus use sea ear arc rch ch  h     r  ri ri  i     s  so sou our urc rce ce  e     u  uo uoi oil ili lib ibr bra rar ary ry  y     t  te ter erm rm  m     C  CE CE  E     F  F  F     C  CF CF  F             C  CE CE  E     B  B  B     C  CE CE  E     B  B  B     C  CE CE  E     B  BD BD  ,el,eo
84,". А. М. Никольского , СПб : 2008 . 468",А М Никольского СПб АМН МНи Ник ико кол оль льс ьск ско ког ого гоС оСП СПб ,la,ru
85,· Moder Teresa,· · Moder M o d e r Teresa T e r e s a · M  Mo Mod ode der er  r T  Te Ter ere res esa ,sv,da
86,· Haryana ·,· · Haryana H a r y a n a · · · H  Ha Har ary rya yan ana na  a · ,ca,vi
87,Arheje su prvi,Arheje su prvi Arh rhe hej eje jes esu sup upr prv rvi ,sh,hr
88,Auto trail,Auto A u t o trail t r a i l Aut uto to  o t  tr tra rai ail ,ja,hi
89,Santo Domingo (,Santo Domingo San ant nto toD oDo Dom omi min ing ngo ,sl,it
90,Lycopersicon esculentum в,Lycopersicon L y c o p e r s i c o n esculentum e s c u l e n t u m в в Lyc yco cop ope per ers rsi sic ico con on  n e  es esc scu cul ule len ent ntu tum um  m в ,ru,ca
91,p. 216 .,p ,es,zh
92,. Uso incorrecto,Uso incorrecto Uso soi oin inc nco cor orr rre rec ect cto ,es,gl
93,"absurdos , cruzado",absurdos cruzado abs bsu sur urd rdo dos osc scr cru ruz uza zad ado ,gl,pt
94,· Medicina ·,· · Medicina M e d i c i n a · · · M  Me Med edi dic ici cin ina na  a · ,ca,sv
95,Jackson e Teal'c,Jackson e Tealc Jac ack cks kso son one neT eTe Tea eal alc ,it,fr
96,1912 ) • Тагор ( 1913 ) • Роллан (,• • Тагор Т а г о р • • Роллан Р о л л а н   •  •  • Т  Та Таг аго гор ор  р             •  •  • Р  Ро Рол олл лла лан ан  ,uk,ce
97,smaller horses are,smaller horses are sma mal all lle ler erh rho hor ors rse ses esa sar are ,en,no
98,See more at,See S e e more m o r e at a t See ee  e m  mo mor ore re  e a  at ,ro,nl
99,9 November 1841,November Nov ove vem emb mbe ber ,ms,en
100,New England l'atmosfera,New England latmosfera New ewE wEn Eng ngl gla lan and ndl dla lat atm tmo mos osf sfe fer era ,it,pt
101,kraje ( Meksyk,kraje k r a j e Meksyk M e k s y k kra raj aje je  e     M  Me Mek eks ksy syk ,pl,cs
102,sg.f . Romni,sgf Romni sgf gfR fRo Rom omn mni ,la,en
103,63 % (,,es,en
104,"kofferdam ) ,",kofferdam k o f f e r d a m kof off ffe fer erd rda dam am  m   ,ru,da
105,NBA . Biografia,NBA N B A Biografia B i o g r a f i a NBA BA  A     B  Bi Bio iog ogr gra raf afi fia ,pl,ca
106,Lithgow · Maitland,Lithgow L i t h g o w · · Maitland M a i t l a n d Lit ith thg hgo gow ow  w ·  ·  · M  Ma Mai ait itl tla lan and ,tr,vi
107,norma de conduta diferente . Entre elas podemos diferenciar entre,norma de conduta diferente Entre elas podemos diferenciar entre nor orm rma mad ade dec eco con ond ndu dut uta tad adi dif ife fer ere ren ent nte teE eEn Ent ntr tre ree eel ela las asp spo pod ode dem emo mos osd sdi dif ife fer ere ren enc nci cia iar are ren ent ntr tre ,gl,es
108,15 : Rolland,Rolland Rol oll lla lan and ,gl,en
109,de Donau en,de d e Donau D o n a u en e n de  e D  Do Don ona nau au  u e  en ,nl,eo
110,". ) ,",,sh,en
111,"topik , ed",topik ed top opi pik ike ked ,vo,en
112,derechos humanos también,derechos humanos también der ere rec ech cho hos osh shu hum uma man ano nos ost sta tam amb mbi bié ién ,fr,es
113,grupo predominante é,grupo predominante é gru rup upo pop opr pre red edo dom omi min ina nan ant nte teé ,gl,pt
114,McKnight en Mack,McKnight M c K n i g h t en e n Mack M a c k McK cKn Kni nig igh ght ht  t e  en en  n M  Ma Mac ack ,nl,sv
115,in ambient air,in ambient air ina nam amb mbi bie ien ent nta tai air ,en,de
116,Götalands län og stiftsstad i Göteborgs stift . Byen ligg,Götalands län og stiftsstad i Göteborgs stift Byen ligg Göt öta tal ala lan and nds dsl slä län äno nog ogs gst sti tif ift fts tss sst sta tad adi diG iGö Göt öte teb ebo bor org rgs gss sst sti tif ift ftB tBy Bye yen enl nli lig igg ,nn,no
117,made . '',made m a d e mad ade de  e   ,ro,ca
118,↑ `` Les,↑ Les ↑Le Les ,sh,fr
119,"de Jerusalem ,",de d e Jerusalem J e r u s a l e m de  e J  Je Jer eru rus usa sal ale lem em  ,ca,cs
120,on high-frequency radiation,on highfrequency radiation onh nhi hig igh ghf hfr fre req equ que uen enc ncy cyr yra rad adi dia iat ati tio ion ,es,en
121,fast slik at,fast slik at fas ast sts tsl sli lik ika kat ,nn,no
122,motsetning til mange,motsetning til mange mot ots tse set etn tni nin ing ngt gti til ilm lma man ang nge ,no,nn
123,"ki , evli",ki k i evli e v l i ki  i     e  ev evl vli ,az,tr
124,Po evropskih standardih,Po evropskih standardih Poe oev evr vro rop ops psk ski kih ihs hst sta tan and nda dar ard rdi dih ,sl,sh
125,"при Булгарофигон ,",при п р и Булгарофигон Б у л г а р о ф и г о н при ри  и Б  Бу Бул улг лга гар аро роф офи фиг иго гон он  ,bg,ru
126,10 Ne 11,Ne ,la,zh
127,Diocleciano e Maximiano,Diocleciano e Maximiano Dio ioc ocl cle lec eci cia ian ano noe oeM eMa Max axi xim imi mia ian ano ,pt,it
128,nos que posibelmente,nos que posibelmente nos osq squ que uep epo pos osi sib ibe bel elm lme men ent nte ,gl,es
129,· Lettonie ·,· Lettonie · ·Le Let ett tto ton oni nie ie· ,fr,it
130,- Cerceda -,Cerceda Cer erc rce ced eda ,gl,en
131,"soul , and",soul and sou oul ula lan and ,sh,en
132,ایک خودمختار پاکستان,ایک ا ی ک خودمختار خ و د م خ ت ا ر پاکستان پ ا ک س ت ا ن ایک یک  ک خ  خو خود ودم دمخ مخت ختا تار ار  ر پ  پا پاک اکس کست ستا تان ,ur,fa
133,pembunuhan bangsa beramai-ramai,pembunuhan bangsa beramairamai pem emb mbu bun unu nuh uha han anb nba ban ang ngs gsa sab abe ber era ram ama mai air ira ram ama mai ,ms,id
134,"40 , 41",,ca,en
135,"Ananjeva , Nazan",Ananjeva A n a n j e v a Nazan N a z a n Ana nan anj nje jev eva va  a     N  Na Naz aza zan ,uk,sl
136,Mónaco | Noruega,Mónaco Noruega Món óna nac aco coN oNo Nor oru rue ueg ega ,pt,es
137,et litterae J,et litterae J etl tli lit itt tte ter era rae aeJ ,la,no
138, (1951) • ,• •   •  •  ,th,pt
139,ny likestillingslov i,ny likestillingslov i nyl yli lik ike kes est sti til ill lli lin ing ngs gsl slo lov ovi ,no,nn
140,isə 22878120 nəfər,isə i s ə nəfər n ə f ə r isə sə  ə     n  nə nəf əfə fər ,uz,az
141,Díaz · Prieto,Díaz D í a z · · Prieto P r i e t o Día íaz az  z ·  ·  · P  Pr Pri rie iet eto ,sv,hu
142,• Сенегал • Сомали • Судан • Сьерра-Леоне • Танзания • Того • Тунис • Уганда • Чад • Экваториальная Гвинея • Эритрея • Эфиопия • Южно-Африканская Республика • Южный Судан,• • Сенегал С е н е г а л • • Сомали С о м а л и • • Судан С у д а н • • СьерраЛеоне С ь е р р а Л е о н е • • Танзания Т а н з а н и я • • Того Т о г о • • Тунис Т у н и с • • Уганда У г а н д а • • Чад Ч а д • • Экваториальная Э к в а т о р и а л ь н а я Гвинея Г в и н е я • • Эритрея Э р и т р е я • • Эфиопия Э ф и о п и я • • ЮжноАфриканская Ю ж н о А ф р и к а н с к а я Республика Р е с п у б л и к а • • Южный Ю ж н ы й Судан С у д а н • С  Се Сен ене нег ега гал ал  л •  •  • С  Со Сом ома мал али ли  и •  •  • С  Су Суд уда дан ан  н •  •  • С  Сь Сье ьер ерр рра раЛ аЛе Лео еон оне не  е •  •  • Т  Та Тан анз нза зан ани ния ия  я •  •  • Т  То Тог ого го  о •  •  • Т  Ту Тун уни нис ис  с •  •  • У  Уг Уга ган анд нда да  а •  •  • Ч  Ча Чад ад  д •  •  • Э  Эк Экв ква ват ато тор ори риа иал аль льн ьна ная ая  я Г  Гв Гви вин ине нея ея  я •  •  • Э  Эр Эри рит итр тре рея ея  я •  •  • Э  Эф Эфи фио иоп опи пия ия  я •  •  • Ю  Юж Южн жно ноА оАф Афр фри рик ика кан анс нск ска кая ая  я Р  Ре Рес есп спу пуб убл бли лик ика ка  а •  •  • Ю  Юж Южн жны ный ый  й С  Су Суд уда дан ,ru,ce
143,"маркграф , а",маркграф м а р к г р а ф а а мар арк ркг кгр гра раф аф  ф     а ,be,ru
144,i Palácio de,i Palácio de iPa Pal alá lác áci cio iod ode ,no,pt
145,• Gornja Normandija,• Gornja Normandija •Go Gor orn rnj nja jaN aNo Nor orm rma man and ndi dij ija ,sh,hr
146,1996 Copenhaga ·,Copenhaga · Cop ope pen enh nha hag aga ga· ,pt,no
147,• Louis Althusser,• Louis Althusser •Lo Lou oui uis isA sAl Alt lth thu hus uss sse ser ,hr,sh
148,", Varol Tok",Varol V a r o l Tok T o k  Va Var aro rol ol  l T  To Tok ,uk,uz
